price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
12250000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished
12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
11558002,5059,2,1,1,yes,no,yes,yes,no,2,no,furnished
11672369,10671,4,4,1,yes,yes,yes,no,no,1,no,furnished
12660255,7533,3,3,1,no,no,yes,yes,no,0,yes,semi-furnished
9003128,4400,5,3,2,yes,no,no,yes,no,0,no,semi-furnished
5709596,5397,4,2,3,no,no,yes,no,yes,2,no,semi-furnished
10449424,16310,1,2,4,yes,yes,yes,yes,yes,3,no,unfurnished
11202885,6124,2,2,2,yes,yes,no,yes,yes,0,no,semi-furnished
8457737,7594,1,1,3,yes,no,no,yes,yes,2,no,unfurnished
13229410,9109,5,2,2,no,no,yes,yes,yes,1,yes,semi-furnished
11693179,12072,4,2,1,no,yes,yes,yes,no,1,no,semi-furnished
12554396,9389,4,3,4,no,yes,yes,no,no,1,no,furnished
4862863,16556,5,2,4,no,no,no,no,yes,2,no,unfurnished
8575031,9705,3,1,3,yes,yes,yes,no,yes,3,no,semi-furnished
12504912,3365,5,3,1,no,yes,no,no,no,1,no,semi-furnished
9770752,2111,2,2,2,yes,no,yes,yes,yes,1,no,furnished
6864028,3869,4,3,1,no,no,no,yes,no,1,yes,furnished
5195636,11139,3,1,1,yes,no,no,yes,yes,2,no,furnished
4290925,6396,4,4,4,no,no,no,yes,no,3,yes,furnished
5486258,9406,4,4,1,yes,no,no,no,no,3,yes,semi-furnished
13177771,8538,2,2,2,no,yes,yes,no,yes,0,yes,semi-furnished
5503686,16181,5,1,3,yes,no,no,yes,yes,2,yes,unfurnished
7964999,6904,2,4,2,yes,no,no,yes,yes,0,yes,furnished
7212050,3487,2,4,2,yes,no,no,yes,yes,0,yes,unfurnished
11891037,3392,2,2,3,yes,no,yes,yes,no,0,yes,unfurnished
4703048,13337,3,1,4,yes,no,no,yes,no,1,yes,semi-furnished
9477621,6921,3,2,2,no,no,yes,no,no,0,no,semi-furnished
12569445,9892,3,1,3,no,no,no,no,yes,2,yes,furnished
5471190,2372,3,4,3,no,no,yes,yes,yes,0,no,semi-furnished
12183403,7075,3,1,2,yes,no,no,no,yes,3,no,unfurnished
11919722,9537,4,3,4,yes,yes,yes,yes,yes,1,yes,semi-furnished
6050434,9920,2,1,4,yes,yes,no,yes,no,3,yes,unfurnished
4232667,12151,1,3,2,yes,yes,yes,no,yes,1,yes,semi-furnished
8610714,13763,5,3,4,yes,no,no,no,no,3,no,unfurnished
9693291,11955,2,1,2,yes,yes,no,yes,yes,3,yes,semi-furnished
7118776,5258,4,4,1,no,no,yes,no,yes,2,yes,furnished
9299479,3690,5,2,3,yes,no,no,no,no,0,yes,furnished
6856197,15824,5,3,1,yes,no,no,no,yes,2,yes,semi-furnished
8151447,7616,5,2,4,yes,no,yes,yes,yes,0,no,furnished
5093249,12165,4,1,3,no,no,yes,no,yes,1,yes,semi-furnished
9579078,5725,3,3,2,yes,no,no,yes,no,2,no,semi-furnished
8024384,8158,2,4,1,yes,no,no,yes,no,3,yes,unfurnished
6130781,9444,4,1,2,no,no,no,yes,no,2,no,semi-furnished
8917557,9188,5,3,4,yes,yes,no,no,no,2,no,furnished
12097332,3273,1,2,2,yes,no,yes,yes,no,0,no,furnished
11896651,16911,5,2,4,no,no,yes,yes,no,3,no,semi-furnished
10744670,15025,1,3,2,yes,yes,yes,yes,yes,2,yes,furnished
10953610,7252,1,4,1,yes,yes,yes,no,no,3,no,semi-furnished
8039730,9196,1,1,3,no,yes,yes,no,no,0,no,semi-furnished
6253964,6603,5,2,2,no,yes,no,yes,yes,0,yes,furnished
12796568,16023,4,4,4,yes,no,no,no,no,0,no,semi-furnished
5119172,16290,1,2,2,yes,no,no,no,no,0,yes,unfurnished
10147919,14145,1,4,4,no,yes,yes,no,yes,1,no,unfurnished
4063427,9224,3,2,3,no,yes,yes,no,no,3,yes,furnished
8426416,9086,1,2,1,no,no,no,no,yes,0,no,furnished
12989052,16499,3,2,4,yes,yes,no,yes,yes,3,no,unfurnished
7030361,5200,5,2,2,yes,yes,no,yes,yes,2,no,semi-furnished
12754613,16095,1,4,1,yes,yes,no,yes,no,2,no,furnished
5399347,12683,3,4,2,no,yes,no,no,no,2,yes,unfurnished
12166359,15452,3,2,3,yes,yes,no,no,yes,2,yes,semi-furnished
12113195,2683,2,4,4,no,no,no,no,yes,1,yes,semi-furnished
11910033,14326,2,1,4,yes,no,no,yes,no,3,no,semi-furnished
7794526,10238,5,1,1,no,no,yes,yes,no,2,yes,semi-furnished
4500683,8021,4,4,3,yes,no,yes,no,yes,0,yes,unfurnished
8678252,8570,3,2,2,yes,yes,yes,yes,no,2,yes,semi-furnished
5015000,15754,2,1,3,yes,yes,yes,yes,no,0,no,furnished
10328265,16738,2,1,4,yes,yes,yes,yes,no,3,yes,unfurnished
7716404,11421,3,3,1,yes,no,yes,yes,yes,3,yes,furnished
11902623,7125,3,1,1,yes,yes,no,yes,yes,1,no,unfurnished
11036338,11593,2,4,2,no,no,yes,no,yes,1,yes,unfurnished
13404160,10657,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished
9695932,15715,2,3,4,yes,no,yes,yes,yes,0,yes,furnished
5103336,8400,4,3,2,yes,yes,no,yes,no,0,no,unfurnished
8657903,5615,1,3,3,no,yes,no,yes,yes,0,no,semi-furnished
9221827,14017,1,4,3,no,no,no,yes,no,3,no,semi-furnished
4298893,14101,1,4,1,no,yes,no,no,no,2,yes,unfurnished
4660454,10241,5,3,3,no,yes,yes,no,yes,2,no,furnished
12976320,16384,3,2,1,yes,no,no,yes,yes,1,yes,furnished
10549116,14724,3,2,2,no,no,yes,yes,yes,3,yes,unfurnished
8607993,15658,2,4,1,no,yes,yes,yes,no,3,yes,semi-furnished
7856016,14561,3,4,2,no,yes,yes,no,yes,0,no,unfurnished
13415054,11471,1,1,2,no,no,yes,no,yes,1,no,semi-furnished
6537336,9193,5,4,3,no,no,yes,no,no,3,no,unfurnished
13008145,13501,1,4,3,no,no,yes,yes,no,0,yes,furnished
10697472,14542,5,4,2,yes,yes,yes,yes,no,0,no,unfurnished
9408944,5009,4,2,1,yes,no,no,no,yes,0,yes,semi-furnished
10717593,5797,3,2,2,yes,no,no,no,yes,1,yes,furnished
6155660,14724,3,3,4,yes,yes,yes,no,yes,1,no,unfurnished
11006049,5385,4,4,4,no,yes,yes,no,yes,2,yes,furnished
9687287,9937,4,2,1,yes,yes,no,yes,no,2,no,semi-furnished
6423301,8010,5,1,3,no,yes,no,yes,yes,3,no,semi-furnished
6796749,15560,3,1,1,no,no,no,yes,no,2,yes,semi-furnished
11050726,2484,1,1,2,no,no,no,yes,yes,1,no,furnished
4988593,8619,3,4,1,no,no,yes,yes,no,0,yes,unfurnished
4438706,7726,4,3,1,no,yes,yes,no,yes,0,no,furnished
5305063,9759,1,4,2,no,no,yes,no,no,3,no,unfurnished
4035840,16065,3,4,2,no,yes,yes,no,yes,3,no,unfurnished
6542814,8024,2,3,4,no,no,yes,no,yes,2,yes,unfurnished
12746048,15996,5,3,2,yes,no,yes,no,no,3,yes,unfurnished
12136909,14977,3,1,4,yes,yes,no,yes,yes,2,no,furnished
9041980,9464,4,1,2,no,no,no,no,yes,0,no,semi-furnished
13850535,3878,1,3,2,no,no,yes,yes,no,0,no,unfurnished
8098992,9042,5,4,3,yes,no,no,no,no,2,no,unfurnished
5144305,9092,1,3,1,no,no,yes,yes,yes,0,yes,furnished
9687313,10740,3,3,2,yes,no,no,no,no,3,no,semi-furnished
10637651,6498,1,3,2,yes,yes,no,yes,no,3,yes,furnished
7536390,8652,5,1,4,yes,no,yes,no,no,3,no,furnished
10606500,10370,3,3,3,yes,yes,no,yes,no,1,yes,semi-furnished
8130645,15845,5,2,3,yes,no,yes,yes,yes,0,yes,semi-furnished
13647379,2296,1,4,3,yes,no,no,yes,yes,1,no,furnished
5094203,14292,3,2,1,yes,yes,no,yes,no,0,yes,unfurnished
12028060,8064,1,3,1,yes,no,yes,yes,no,3,yes,unfurnished
4750715,3259,5,1,4,yes,no,yes,yes,no,1,no,semi-furnished
11651865,4724,1,4,3,no,no,yes,no,no,3,no,semi-furnished
6090572,8661,5,2,3,no,no,yes,yes,yes,2,yes,furnished
13007314,6829,2,4,1,no,yes,yes,no,no,0,no,semi-furnished
7477715,16178,4,1,1,yes,no,no,no,no,0,no,furnished
5611150,10614,2,3,4,yes,yes,yes,yes,no,2,no,furnished
9061239,7295,4,3,3,yes,yes,yes,no,no,2,no,unfurnished
4938862,11380,5,2,2,no,yes,yes,no,no,0,yes,furnished
12492515,10915,1,4,2,yes,yes,no,no,no,1,yes,furnished
7375859,13757,1,4,2,no,no,no,yes,yes,0,yes,unfurnished
7211688,15253,5,3,3,no,yes,yes,no,yes,2,no,unfurnished
7565136,11043,1,3,1,yes,yes,yes,no,yes,1,no,furnished
6182246,9741,2,3,3,no,yes,no,no,yes,0,yes,semi-furnished
13075106,11143,5,2,1,no,no,no,no,no,2,yes,semi-furnished
4707461,13693,3,2,1,no,no,yes,yes,yes,2,no,unfurnished
11228413,9745,4,2,4,no,yes,yes,yes,yes,2,yes,furnished
7113943,5077,5,4,4,no,yes,yes,yes,yes,2,yes,semi-furnished
12585470,13751,2,3,1,no,yes,no,no,yes,1,yes,semi-furnished
12210517,8336,4,3,4,no,yes,no,yes,no,2,yes,furnished
6133659,15733,2,3,3,yes,yes,no,yes,yes,1,yes,unfurnished
9147776,3110,5,4,3,yes,yes,yes,no,yes,2,no,semi-furnished
6946356,13972,5,2,1,no,yes,no,yes,yes,1,no,semi-furnished
8560567,9286,5,2,4,no,yes,yes,no,yes,0,no,semi-furnished
6911542,9422,3,2,3,yes,yes,yes,no,no,2,yes,unfurnished
4532958,13055,5,4,1,no,yes,no,no,yes,2,no,furnished
13704464,6893,1,4,2,no,no,yes,no,no,3,no,unfurnished
9813547,5170,1,2,3,no,no,yes,yes,yes,3,yes,unfurnished
10324189,2870,4,4,2,no,yes,yes,no,no,0,yes,furnished
8542931,9419,1,4,3,yes,yes,yes,yes,no,1,yes,furnished
8660986,13528,5,3,3,no,no,yes,no,no,0,yes,semi-furnished
10986416,5878,3,1,4,yes,no,yes,no,no,1,yes,semi-furnished
10198761,4763,4,1,4,no,yes,no,no,no,1,no,furnished
12663810,4823,3,3,3,yes,no,yes,yes,no,1,no,furnished
10973966,13164,3,2,1,no,no,yes,no,yes,2,yes,unfurnished
8433248,7089,4,4,2,no,yes,no,yes,yes,3,no,furnished
10818298,5486,1,1,2,no,no,no,yes,yes,2,yes,unfurnished
13066662,12127,1,4,4,no,no,yes,yes,yes,3,no,unfurnished
6115812,5599,3,3,3,yes,yes,yes,no,no,0,no,semi-furnished
11569509,2625,1,3,1,no,yes,no,yes,no,0,yes,unfurnished
10272163,16079,3,3,1,yes,no,no,yes,yes,3,no,unfurnished
6287963,9159,1,3,1,no,no,yes,no,no,0,no,unfurnished
4972885,16424,3,1,2,no,yes,yes,yes,yes,0,no,furnished
6325009,10094,1,1,2,yes,no,yes,yes,no,1,yes,unfurnished
6881724,12360,4,4,1,yes,no,no,no,no,0,no,semi-furnished
11038345,16546,4,3,4,no,no,no,yes,no,1,yes,unfurnished
9298301,12932,4,3,2,yes,no,yes,yes,yes,0,no,furnished
9957943,16561,5,3,2,yes,no,no,yes,yes,0,yes,semi-furnished
9800603,3653,1,3,3,yes,no,no,no,no,2,yes,unfurnished
4133550,3059,3,4,1,no,no,no,no,yes,1,yes,furnished
6599110,16322,4,4,2,yes,yes,no,yes,no,0,no,semi-furnished
10384853,13645,1,1,4,no,no,yes,no,no,2,no,unfurnished
13026232,12817,3,4,2,yes,yes,no,no,no,2,yes,unfurnished
5653249,9685,4,3,3,yes,yes,no,no,no,0,no,unfurnished
5275335,16150,2,3,3,yes,yes,no,no,yes,1,no,unfurnished
5365786,4795,3,1,3,yes,no,yes,yes,yes,2,yes,semi-furnished
8761667,12772,2,3,4,no,yes,yes,no,no,3,no,unfurnished
6553663,6320,5,4,3,yes,no,yes,yes,no,1,no,semi-furnished
13098350,10776,2,1,3,yes,no,no,yes,yes,2,yes,semi-furnished
12227630,9800,4,2,4,yes,no,yes,yes,no,2,yes,semi-furnished
5765728,3094,4,3,3,yes,yes,yes,yes,yes,3,no,unfurnished
11602476,6940,2,3,2,yes,no,yes,no,yes,3,yes,unfurnished
4924084,15855,1,1,3,no,yes,no,no,yes,2,no,furnished
9573902,16988,4,3,4,yes,no,yes,no,yes,2,yes,unfurnished
11406612,13448,5,3,2,no,no,no,no,yes,0,no,unfurnished
10982177,11091,2,3,4,yes,no,no,no,yes,2,no,semi-furnished
5046197,9022,4,4,1,yes,no,no,no,no,1,no,unfurnished
4567769,3446,1,3,1,no,yes,no,yes,yes,3,yes,furnished
8543860,14197,3,1,4,yes,yes,yes,no,yes,3,yes,furnished
11095379,4068,1,1,2,no,no,no,yes,no,1,no,unfurnished
12241224,10494,3,1,4,no,no,no,no,yes,2,no,semi-furnished
12788926,11581,4,1,1,yes,yes,yes,no,no,3,yes,furnished
10901654,9291,4,3,4,yes,yes,yes,yes,yes,1,yes,semi-furnished
5679532,9815,5,2,2,no,no,no,no,no,2,yes,furnished
7201959,7890,2,1,2,no,no,no,no,yes,1,no,semi-furnished
13081693,2989,4,2,1,yes,no,yes,yes,yes,2,yes,furnished
9731049,8863,1,4,3,no,yes,no,yes,no,0,yes,semi-furnished
11388066,8345,3,3,4,no,yes,yes,no,yes,2,no,unfurnished
10021744,5723,3,1,4,yes,yes,no,yes,yes,3,yes,unfurnished
11809610,4787,3,4,1,no,no,yes,no,no,1,yes,unfurnished
13767484,13006,2,3,2,no,no,yes,no,yes,1,no,unfurnished
11923281,7916,3,1,2,yes,no,no,yes,no,3,yes,semi-furnished
12712485,11180,3,4,4,yes,yes,yes,no,yes,1,no,semi-furnished
8208745,4688,4,4,1,no,yes,yes,no,no,1,no,furnished
9968352,16634,3,4,4,yes,no,no,yes,yes,1,yes,furnished
5986964,9995,2,4,1,no,yes,yes,yes,yes,0,no,unfurnished
4950784,13445,3,3,2,no,yes,no,yes,no,3,yes,semi-furnished
5160901,16892,4,3,2,no,yes,no,yes,no,2,yes,semi-furnished
9715502,12439,5,3,2,yes,no,yes,yes,yes,3,no,furnished
8710183,8964,5,3,4,yes,no,no,yes,no,1,no,semi-furnished
4865108,8791,2,3,3,yes,no,yes,no,no,0,no,furnished
6705046,13361,1,4,1,no,yes,no,yes,yes,2,yes,unfurnished
5547030,15109,5,2,2,no,no,no,yes,yes,2,no,unfurnished
5984836,8967,5,4,2,yes,yes,no,yes,no,0,no,semi-furnished
13718325,14840,3,1,2,yes,no,no,no,yes,0,yes,furnished
12457059,7046,2,2,3,no,no,no,yes,yes,2,no,unfurnished
11493432,8308,3,4,3,yes,no,no,no,no,2,no,unfurnished
12475848,16403,4,3,2,no,yes,no,yes,yes,3,yes,unfurnished
5106404,14263,4,3,3,yes,no,no,yes,no,1,no,furnished
8627563,14159,5,2,4,no,no,yes,no,no,2,no,semi-furnished
11618861,14172,2,2,2,no,yes,yes,yes,no,3,no,unfurnished
7722684,11543,3,2,2,no,no,yes,yes,no,2,no,unfurnished
13320796,2600,4,2,4,yes,no,no,no,no,1,no,unfurnished
5764507,7187,5,1,1,no,no,yes,yes,no,2,yes,semi-furnished
13346495,10655,1,2,4,no,no,no,yes,no,3,yes,furnished
7919500,7700,5,3,1,no,yes,no,yes,yes,0,yes,semi-furnished
4290301,8855,4,1,2,no,no,yes,yes,no,3,no,furnished
6501551,5282,2,1,4,yes,no,yes,yes,yes,2,yes,unfurnished
7932837,3403,4,2,4,no,yes,no,no,yes,3,yes,unfurnished
9466344,12628,3,4,2,no,no,yes,no,no,3,yes,semi-furnished
13641306,6447,3,2,1,no,yes,no,no,no,2,no,unfurnished
10232784,13461,1,1,3,no,no,yes,yes,no,1,no,furnished
7060857,12595,5,3,1,yes,yes,yes,yes,no,2,no,unfurnished
13828353,10528,1,4,1,no,yes,yes,no,yes,3,no,furnished
5575384,10120,3,3,2,no,yes,yes,no,yes,1,yes,furnished
7963042,3040,1,4,1,no,yes,yes,no,yes,3,yes,unfurnished
7990141,6926,4,3,4,yes,yes,no,no,yes,2,no,unfurnished
13134103,16973,1,4,4,yes,no,yes,yes,yes,0,yes,semi-furnished
4852782,12362,3,2,3,yes,yes,no,yes,no,3,no,semi-furnished
13374519,13995,4,4,1,yes,yes,yes,yes,yes,1,yes,unfurnished
4179840,7971,3,4,4,yes,yes,no,no,no,2,yes,unfurnished
6717578,12576,5,4,3,no,yes,no,yes,yes,3,no,semi-furnished
6199478,14650,1,2,4,yes,yes,yes,no,no,3,yes,furnished
6150913,13198,4,3,2,no,yes,no,yes,no,0,yes,semi-furnished
7370752,11908,1,4,1,yes,yes,no,yes,yes,0,no,furnished
7116314,6444,5,4,2,yes,yes,yes,no,yes,2,no,furnished
5080395,15058,4,3,3,yes,no,yes,yes,no,2,no,semi-furnished
9024115,11351,1,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
5737373,6597,5,1,1,yes,no,no,yes,no,3,yes,furnished
7046332,5734,2,2,2,yes,yes,yes,no,yes,3,no,unfurnished
10036828,4844,3,2,2,no,yes,yes,no,yes,0,yes,unfurnished
12341835,8302,2,1,1,yes,yes,yes,no,no,1,yes,furnished
8211876,8239,3,2,3,no,yes,no,no,yes,1,no,unfurnished
13865246,13998,4,1,2,no,no,no,yes,yes,2,yes,unfurnished
8239250,10187,3,2,4,no,yes,yes,yes,no,2,yes,semi-furnished
10579616,13863,5,1,2,yes,no,yes,yes,yes,1,yes,unfurnished
6789937,12975,1,1,3,no,no,yes,yes,yes,2,no,furnished
12857490,10357,3,4,1,yes,no,no,yes,yes,1,no,furnished
11474334,12051,3,1,3,yes,no,yes,no,no,0,yes,semi-furnished
9389723,15009,4,2,2,yes,yes,no,no,no,1,yes,furnished
10535433,15242,2,3,2,no,yes,yes,no,yes,3,no,unfurnished
10101084,10568,5,4,4,yes,no,no,yes,no,1,yes,unfurnished
8503596,8953,3,2,3,no,no,no,yes,no,3,yes,unfurnished
10184772,2973,1,2,4,yes,no,yes,no,yes,3,yes,unfurnished
11810909,8217,4,4,1,yes,yes,yes,no,yes,1,no,semi-furnished
9142956,12432,2,3,3,yes,no,no,yes,no,2,yes,unfurnished
13202335,14105,5,3,2,no,yes,no,yes,yes,0,yes,semi-furnished
5215777,2458,3,1,2,yes,yes,yes,no,no,1,no,semi-furnished
10600496,6921,3,2,4,no,yes,yes,no,no,2,no,furnished
12170557,16344,1,4,2,no,no,yes,no,no,2,yes,semi-furnished
4093328,3792,1,2,3,no,no,no,no,no,3,no,unfurnished
12015514,13312,4,4,4,yes,yes,no,yes,yes,3,no,semi-furnished
13114427,9490,1,2,1,yes,no,no,yes,no,0,no,furnished
11913091,5443,4,3,2,no,no,no,yes,yes,2,no,semi-furnished
13166401,11662,3,3,3,no,yes,yes,no,yes,2,yes,semi-furnished
9032497,7774,2,4,3,no,yes,yes,yes,yes,3,no,semi-furnished
10212069,5806,4,4,2,no,yes,no,no,yes,0,no,semi-furnished
9205016,8431,4,1,4,yes,yes,no,yes,yes,0,yes,furnished
7712332,15092,3,3,3,no,yes,yes,no,yes,0,yes,unfurnished
5907456,11936,2,1,2,no,yes,yes,no,no,2,no,furnished
12911654,5483,5,4,4,yes,yes,no,no,yes,2,yes,unfurnished
8901618,4728,4,4,1,no,no,yes,no,yes,1,no,furnished
11354910,8988,3,4,4,yes,yes,no,yes,no,2,yes,semi-furnished
11495949,4133,2,1,3,yes,yes,yes,yes,no,0,no,furnished
11121340,12767,3,3,1,yes,no,no,no,no,0,no,furnished
12479891,4872,3,1,4,yes,no,no,yes,no,2,yes,furnished
13014124,7295,1,4,2,no,yes,no,no,yes,0,no,semi-furnished
6174527,11512,2,1,3,no,yes,no,no,no,1,no,unfurnished
11890546,14712,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished
6108144,3887,2,1,1,no,no,yes,no,yes,2,yes,semi-furnished
12985131,3640,4,1,1,yes,yes,no,yes,yes,3,yes,furnished
5975440,3560,5,1,1,yes,no,no,yes,yes,3,yes,unfurnished
6554256,3910,1,2,1,yes,yes,no,no,yes,0,no,furnished
9595427,4887,2,1,3,yes,yes,yes,yes,yes,3,yes,semi-furnished
4935802,7725,5,2,4,yes,no,no,yes,no,1,no,semi-furnished
8639147,12959,4,4,3,no,no,yes,no,yes,2,no,unfurnished
6356983,5970,3,4,3,yes,no,yes,yes,no,1,no,unfurnished
9453602,3910,4,4,1,yes,no,yes,no,no,1,no,furnished
8624810,5824,2,2,2,no,yes,no,yes,no,1,no,unfurnished
8474434,8187,1,3,4,no,no,yes,no,yes,1,yes,furnished
8645746,16254,4,2,1,yes,no,no,yes,yes,3,yes,semi-furnished
4585444,16053,2,1,4,yes,no,no,yes,no,3,yes,furnished
7317251,10105,1,3,4,no,no,yes,yes,no,2,yes,unfurnished
8476399,7354,4,1,3,no,no,yes,no,yes,2,yes,unfurnished
6247767,9414,5,3,4,yes,yes,no,yes,no,0,no,unfurnished
9263268,6556,2,1,3,no,yes,yes,no,no,2,no,furnished
6606929,13544,2,2,3,yes,no,yes,yes,no,3,no,furnished
5001730,15992,3,3,1,yes,yes,no,no,no,1,no,furnished
8613246,12987,3,4,2,no,yes,yes,no,yes,2,yes,unfurnished
11582540,5016,4,4,2,no,no,yes,yes,yes,1,no,furnished
4630797,5780,1,1,1,yes,no,no,no,yes,3,yes,furnished
8333998,16904,2,2,3,yes,no,no,no,yes,1,yes,unfurnished
13967378,6853,5,4,1,yes,no,no,yes,no,1,no,furnished
13189105,14030,5,1,1,yes,no,no,no,no,2,no,semi-furnished
5438165,15857,2,4,3,no,no,no,yes,no,0,no,unfurnished
4712517,7527,3,2,2,yes,yes,yes,no,yes,2,no,unfurnished
12682435,7111,2,3,4,no,yes,no,yes,no,2,yes,unfurnished
13987384,13009,2,1,2,no,yes,no,yes,no,0,no,semi-furnished
7135715,5641,4,1,1,no,yes,no,no,no,0,no,furnished
7047421,9799,2,3,4,yes,no,no,yes,no,0,yes,semi-furnished
9633667,3618,4,3,3,yes,yes,yes,yes,yes,1,yes,unfurnished
5908738,3821,1,2,2,yes,no,yes,yes,no,2,no,furnished
7815709,11749,1,4,1,no,no,yes,no,yes,2,no,semi-furnished
5773661,15178,2,3,2,no,yes,yes,yes,no,1,no,unfurnished
9614249,12918,5,4,3,no,yes,yes,no,yes,0,yes,unfurnished
7984792,8258,1,4,3,yes,yes,yes,yes,no,3,no,unfurnished
6647706,5183,1,1,4,no,no,no,no,no,2,yes,semi-furnished
7908849,8230,3,4,1,yes,no,no,no,yes,3,yes,furnished
7574589,13608,1,2,1,yes,yes,no,no,no,2,yes,semi-furnished
9001660,8494,4,2,3,yes,yes,yes,no,no,3,no,furnished
